"vehicle_type","maintenance_status","incident_type","incident_severity","total_incidents","avg_resolution_hours","open_incidents","escalated_incidents"
"CargoVan","InRepair","VehicleFault","Low",1,7.1,1,0
"CargoVan","InRepair","VehicleFault","Medium",1,21.6,1,0
"CargoVan","Scheduled","RouteDeviation","High",1,3.2,1,0
"CargoVan","Scheduled","RouteDeviation","Medium",1,8.2,0,0
"CargoVan","Scheduled","TemperatureIssue","Critical",1,2.8,0,0
"CargoVan","Scheduled","TemperatureIssue","Low",1,17.8,0,0
"CargoVan","Scheduled","TemperatureIssue","Medium",1,16.3,0,1
"CargoVan","Scheduled","VehicleFault","High",1,18.4,1,0
"Diesel","Active","AppSyncError","High",1,3.7,0,0
"Diesel","Active","AppSyncError","Medium",1,4.9,1,0
"Diesel","Active","BatteryAlert","Medium",1,0.4,0,0
"Diesel","Active","CustomerNoShow","High",1,21,0,1
"Diesel","Active","CustomerNoShow","Medium",1,19.6,0,0
"Diesel","Active","ProofMissing","Critical",1,11.8,0,0
"Diesel","Active","ProofMissing","Medium",1,14.2,0,0
"Diesel","Active","RouteDeviation","High",1,4.3,0,0
"Diesel","Active","RouteDeviation","Low",1,23.3,0,0
"Diesel","Active","RouteDeviation","Medium",1,3,0,0
"Diesel","Active","SafetyNearMiss","Medium",1,6.4,0,0
"Diesel","Active","TemperatureIssue","Low",1,13.1,0,1
"Diesel","Active","VehicleFault","High",1,0.4,0,0
"Diesel","InRepair","AppSyncError","High",1,15.2,0,1
"Diesel","InRepair","BatteryAlert","High",1,1.7,1,0
"Diesel","InRepair","CustomerNoShow","High",1,NA,0,1
"Diesel","InRepair","CustomerNoShow","Medium",1,20.1,0,0
"Diesel","InRepair","ProofMissing","Critical",1,11.9,0,1
"Diesel","InRepair","ProofMissing","High",1,6.7,1,0
"Diesel","InRepair","RouteDeviation","Critical",1,8.6,1,0
"Diesel","InRepair","RouteDeviation","Low",1,20.9,0,1
"Diesel","InRepair","TemperatureIssue","Critical",1,3.3,0,0
"Diesel","InRepair","VehicleFault","Critical",1,14.2,0,0
"Diesel","InRepair","VehicleFault","Low",1,10.9,0,0
"Diesel","InRepair","VehicleFault","Medium",1,12.8,0,0
"Diesel","Scheduled","BatteryAlert","Critical",1,10.2,0,0
"Diesel","Scheduled","CustomerNoShow","Low",1,14.7,1,0
"Diesel","Scheduled","SafetyNearMiss","High",1,2.6,0,0
"EV","Active","BatteryAlert","High",1,20.3,0,0
"EV","Active","RouteDeviation","Critical",1,18.1,0,1
"EV","Active","RouteDeviation","Medium",1,NA,1,0
"EV","Active","SafetyNearMiss","High",1,6.5,0,0
"EV","Active","TemperatureIssue","High",1,8.2,0,1
"EV","Active","TemperatureIssue","Low",1,8.4,0,1
"EV","Active","VehicleFault","Critical",1,26.7,0,0
"EV","Active","VehicleFault","High",1,15.7,0,0
"EV","InRepair","AppSyncError","Critical",1,10.3,0,0
"EV","InRepair","AppSyncError","Medium",1,17.6,0,0
"EV","InRepair","BatteryAlert","Medium",1,11.8,0,0
"EV","InRepair","CustomerNoShow","Critical",1,19,0,0
"EV","InRepair","CustomerNoShow","Low",1,7.4,0,0
"EV","InRepair","ProofMissing","Medium",1,4.8,0,1
"EV","InRepair","SafetyNearMiss","Medium",1,14.4,0,1
"EV","InRepair","VehicleFault","High",1,9.1,1,0
"EV","InRepair","VehicleFault","Medium",1,4.9,1,0
"EV","Scheduled","BatteryAlert","Low",1,15.2,0,0
"EV","Scheduled","CustomerNoShow","Critical",1,3.2,0,0
"EV","Scheduled","CustomerNoShow","Low",1,18.1,0,0
"EV","Scheduled","ProofMissing","Critical",1,27.8,1,0
"EV","Scheduled","ProofMissing","Low",1,21,0,0
"EV","Scheduled","ProofMissing","Medium",1,8.1,0,1
"EV","Scheduled","SafetyNearMiss","High",1,0.4,0,0
"EV","Scheduled","SafetyNearMiss","Low",1,4,0,0
"EV","Scheduled","VehicleFault","High",1,5,1,0
"EV","Scheduled","VehicleFault","Low",1,11.3,1,0
"Hybrid","Active","AppSyncError","Low",1,16.5,0,0
"Hybrid","Active","BatteryAlert","High",1,18.5,1,0
"Hybrid","Active","ProofMissing","Medium",1,3.1,1,0
"Hybrid","Active","RouteDeviation","High",1,5.1,0,0
"Hybrid","Active","RouteDeviation","Medium",1,10.2,0,0
"Hybrid","Active","SafetyNearMiss","Critical",1,12.1,0,1
"Hybrid","Active","TemperatureIssue","High",1,8.1,0,1
"Hybrid","Active","VehicleFault","Low",1,14.5,0,0
"Hybrid","InRepair","AppSyncError","High",1,NA,0,0
"Hybrid","InRepair","AppSyncError","Medium",1,16.8,0,0
"Hybrid","InRepair","CustomerNoShow","Low",1,16.6,1,0
"Hybrid","InRepair","ProofMissing","Critical",1,3.2,0,0
"Hybrid","InRepair","ProofMissing","High",1,NA,0,0
"Hybrid","InRepair","RouteDeviation","Low",1,6,0,0
"Hybrid","InRepair","RouteDeviation","Medium",1,6.7,0,0
"Hybrid","InRepair","SafetyNearMiss","Low",1,NA,0,1
"Hybrid","InRepair","TemperatureIssue","Low",1,16.7,0,0
"Hybrid","InRepair","TemperatureIssue","Medium",1,22.7,0,0
"Hybrid","InRepair","VehicleFault","Medium",1,4.3,0,0
"Hybrid","Scheduled","AppSyncError","Low",1,27.4,1,0
"Hybrid","Scheduled","AppSyncError","Medium",1,NA,0,0
"Hybrid","Scheduled","BatteryAlert","Critical",1,15.4,1,0
"Hybrid","Scheduled","BatteryAlert","High",1,22.9,0,1
"Hybrid","Scheduled","BatteryAlert","Low",1,9.7,0,0
"Hybrid","Scheduled","CustomerNoShow","High",1,NA,0,0
"Hybrid","Scheduled","ProofMissing","Critical",1,9.6,1,0
"Hybrid","Scheduled","ProofMissing","Medium",1,NA,1,0
"Hybrid","Scheduled","VehicleFault","Low",1,1,0,0
