"delivery_id","delivery_status","manual_route_override_count","proof_of_completion_missing","customer_rating_post_delivery","service_type","priority_level","complaint_presence","incident_presence"
"DL00400","Failed",2,0,2.48,"Parcel","Low","No Complaint Logged","No Incident Logged"
"DL00039","Failed",1,0,2.51,"Passenger","Low","No Complaint Logged","No Incident Logged"
"DL00521","Failed",2,0,2.51,"Medical","High","No Complaint Logged","No Incident Logged"
"DL00530","Failed",2,0,2.54,"Retail","Medium","No Complaint Logged","No Incident Logged"
"DL00641","Failed",0,0,2.54,"Passenger","Low","Complaint Exists","No Incident Logged"
"DL00089","Failed",0,0,2.56,"Parcel","Low","No Complaint Logged","Incident Exists"
"DL00167","Failed",0,0,2.56,"Parcel","Medium","No Complaint Logged","No Incident Logged"
"DL00766","Failed",0,0,2.58,"Business","Medium","No Complaint Logged","Incident Exists"
"DL00766","Failed",0,0,2.58,"Business","Medium","No Complaint Logged","Incident Exists"
"DL00938","Failed",0,0,2.58,"Business","Medium","No Complaint Logged","Incident Exists"
"DL00938","Failed",0,0,2.58,"Business","Medium","No Complaint Logged","Incident Exists"
"DL00330","Failed",1,0,2.59,"Parcel","Medium","Complaint Exists","No Incident Logged"
"DL00330","Failed",1,0,2.59,"Parcel","Medium","Complaint Exists","No Incident Logged"
"DL00690","Failed",0,0,2.59,"Retail","High","Complaint Exists","Incident Exists"
"DL00529","Failed",0,0,2.64,"Parcel","Medium","Complaint Exists","Incident Exists"
"DL00685","Failed",1,0,2.68,"Business","High","No Complaint Logged","Incident Exists"
"DL00533","Failed",2,0,2.69,"Passenger","Medium","No Complaint Logged","No Incident Logged"
"DL00505","Failed",3,1,2.71,"Parcel","Medium","No Complaint Logged","No Incident Logged"
"DL00319","Failed",0,0,2.72,"Parcel","High","Complaint Exists","No Incident Logged"
"DL00319","Failed",0,0,2.72,"Parcel","High","Complaint Exists","No Incident Logged"
"DL00459","Failed",2,0,2.73,"Business","Medium","Complaint Exists","No Incident Logged"
"DL00836","Failed",1,0,2.74,"Parcel","Low","Complaint Exists","No Incident Logged"
"DL00645","Failed",2,0,2.77,"Business","High","No Complaint Logged","No Incident Logged"
"DL00807","Failed",2,0,2.8,"Medical","High","Complaint Exists","No Incident Logged"
"DL00807","Failed",2,0,2.8,"Medical","High","Complaint Exists","No Incident Logged"
"DL00384","Failed",4,0,2.82,"Parcel","Medium","Complaint Exists","No Incident Logged"
"DL00304","Failed",0,1,2.83,"Retail","Medium","No Complaint Logged","No Incident Logged"
"DL00387","Failed",0,0,2.85,"Passenger","High","No Complaint Logged","No Incident Logged"
"DL00078","Failed",1,0,2.87,"Passenger","Critical","Complaint Exists","No Incident Logged"
"DL00654","Failed",0,0,2.92,"Passenger","Low","No Complaint Logged","No Incident Logged"
"DL00041","Failed",3,1,2.94,"Retail","Low","Complaint Exists","No Incident Logged"
"DL00041","Failed",3,1,2.94,"Retail","Low","Complaint Exists","No Incident Logged"
"DL00041","Failed",3,1,2.94,"Retail","Low","Complaint Exists","No Incident Logged"
"DL00041","Failed",3,1,2.94,"Retail","Low","Complaint Exists","No Incident Logged"
"DL00184","Failed",0,0,2.96,"Business","High","Complaint Exists","No Incident Logged"
"DL00778","Failed",3,0,2.96,"Passenger","Low","Complaint Exists","Incident Exists"
"DL00444","Failed",0,0,3,"Passenger","Medium","Complaint Exists","No Incident Logged"
"DL00334","Failed",0,1,3.01,"Business","Low","No Complaint Logged","No Incident Logged"
"DL00789","Failed",3,1,3.03,"Medical","Low","Complaint Exists","No Incident Logged"
"DL00789","Failed",3,1,3.03,"Medical","Low","Complaint Exists","No Incident Logged"
"DL00789","Failed",3,1,3.03,"Medical","Low","Complaint Exists","No Incident Logged"
"DL00350","Failed",1,0,3.05,"Parcel","Medium","Complaint Exists","No Incident Logged"
"DL00731","Failed",3,1,3.05,"Medical","Medium","Complaint Exists","No Incident Logged"
"DL00001","Failed",1,0,3.07,"Business","Medium","Complaint Exists","Incident Exists"
"DL00208","Failed",0,1,3.09,"Retail","High","No Complaint Logged","Incident Exists"
"DL00920","Failed",1,1,3.09,"Retail","Medium","Complaint Exists","No Incident Logged"
"DL00920","Failed",1,1,3.09,"Retail","Medium","Complaint Exists","No Incident Logged"
"DL00393","Failed",1,0,3.11,"Passenger","Medium","No Complaint Logged","No Incident Logged"
"DL00644","Failed",0,0,3.11,"Medical","Medium","No Complaint Logged","No Incident Logged"
"DL00438","Failed",1,0,3.12,"Retail","High","No Complaint Logged","No Incident Logged"
"DL00100","Failed",0,0,3.14,"Parcel","Medium","No Complaint Logged","No Incident Logged"
"DL00928","Failed",0,1,3.15,"Passenger","Medium","No Complaint Logged","Incident Exists"
"DL00928","Failed",0,1,3.15,"Passenger","Medium","No Complaint Logged","Incident Exists"
"DL00261","Failed",1,1,3.18,"Passenger","High","Complaint Exists","No Incident Logged"
"DL00261","Failed",1,1,3.18,"Passenger","High","Complaint Exists","No Incident Logged"
"DL00588","Failed",1,0,3.18,"Passenger","Low","Complaint Exists","No Incident Logged"
"DL00635","Failed",1,0,3.18,"Passenger","Medium","No Complaint Logged","No Incident Logged"
"DL00010","Failed",1,0,3.2,"Passenger","Low","Complaint Exists","No Incident Logged"
"DL00792","Failed",1,0,3.2,"Retail","Low","No Complaint Logged","No Incident Logged"
"DL00324","Failed",1,0,3.21,"Passenger","High","Complaint Exists","Incident Exists"
"DL00324","Failed",1,0,3.21,"Passenger","High","Complaint Exists","Incident Exists"
"DL00324","Failed",1,0,3.21,"Passenger","High","Complaint Exists","Incident Exists"
"DL00324","Failed",1,0,3.21,"Passenger","High","Complaint Exists","Incident Exists"
"DL00497","Failed",1,0,3.23,"Retail","High","No Complaint Logged","No Incident Logged"
"DL00515","Failed",3,1,3.24,"Retail","Medium","No Complaint Logged","No Incident Logged"
"DL00240","Failed",1,0,3.34,"Parcel","Medium","No Complaint Logged","No Incident Logged"
"DL00548","Failed",1,0,3.34,"Business","Medium","No Complaint Logged","Incident Exists"
"DL00386","Failed",1,0,3.35,"Passenger","Low","No Complaint Logged","No Incident Logged"
"DL00178","Failed",2,1,3.36,"Parcel","Medium","No Complaint Logged","No Incident Logged"
"DL00664","Failed",1,1,3.36,"Retail","Medium","Complaint Exists","No Incident Logged"
"DL00038","Failed",2,0,3.43,"Business","Medium","No Complaint Logged","Incident Exists"
"DL00619","Failed",0,0,3.44,"Parcel","High","No Complaint Logged","No Incident Logged"
"DL00278","Failed",2,0,3.49,"Business","High","No Complaint Logged","No Incident Logged"
"DL00022","Failed",0,0,3.5,"Parcel","Medium","No Complaint Logged","No Incident Logged"
"DL00732","Failed",1,0,3.55,"Parcel","Low","Complaint Exists","No Incident Logged"
"DL00097","Failed",1,0,3.58,"Retail","Low","No Complaint Logged","Incident Exists"
"DL00135","Failed",2,0,3.6,"Retail","Medium","No Complaint Logged","Incident Exists"
"DL00698","Failed",0,0,3.6,"Parcel","High","No Complaint Logged","No Incident Logged"
"DL00888","Failed",2,0,3.61,"Medical","Low","Complaint Exists","No Incident Logged"
"DL00084","Failed",0,0,3.63,"Passenger","Low","No Complaint Logged","No Incident Logged"
"DL00235","Failed",0,0,3.68,"Parcel","Medium","No Complaint Logged","No Incident Logged"
"DL00868","Failed",1,0,3.69,"Passenger","Medium","Complaint Exists","No Incident Logged"
"DL00868","Failed",1,0,3.69,"Passenger","Medium","Complaint Exists","No Incident Logged"
"DL00068","Failed",1,0,3.73,"Passenger","Low","Complaint Exists","Incident Exists"
"DL00251","Failed",0,0,3.89,"Medical","Medium","Complaint Exists","No Incident Logged"
"DL00251","Failed",0,0,3.89,"Medical","Medium","Complaint Exists","No Incident Logged"
"DL00935","Failed",4,0,3.9,"Business","Medium","No Complaint Logged","No Incident Logged"
"DL00153","Failed",1,0,3.96,"Business","High","Complaint Exists","Incident Exists"
"DL00763","Failed",0,1,3.96,"Parcel","Low","Complaint Exists","No Incident Logged"
"DL00763","Failed",0,1,3.96,"Parcel","Low","Complaint Exists","No Incident Logged"
"DL00450","Failed",1,0,3.99,"Passenger","High","No Complaint Logged","No Incident Logged"
"DL00705","Failed",2,0,4.04,"Passenger","High","No Complaint Logged","No Incident Logged"
"DL00432","Failed",0,0,4.06,"Retail","Medium","Complaint Exists","No Incident Logged"
"DL00942","Failed",1,0,4.06,"Business","Critical","No Complaint Logged","No Incident Logged"
"DL00316","Failed",1,0,4.11,"Passenger","Low","Complaint Exists","No Incident Logged"
"DL00316","Failed",1,0,4.11,"Passenger","Low","Complaint Exists","No Incident Logged"
"DL00033","Failed",0,1,4.13,"Medical","Critical","No Complaint Logged","No Incident Logged"
"DL00069","Failed",1,0,4.17,"Passenger","Low","Complaint Exists","No Incident Logged"
"DL00154","Failed",1,0,4.2,"Medical","Low","Complaint Exists","No Incident Logged"
"DL00413","Failed",1,0,4.22,"Retail","Low","No Complaint Logged","Incident Exists"
"DL00490","Failed",1,0,4.24,"Parcel","Medium","No Complaint Logged","No Incident Logged"
"DL00832","Failed",0,0,4.27,"Retail","Low","No Complaint Logged","No Incident Logged"
"DL00270","Failed",1,0,4.29,"Retail","Medium","Complaint Exists","No Incident Logged"
"DL00745","Failed",0,0,4.29,"Medical","Medium","Complaint Exists","No Incident Logged"
"DL00788","Failed",0,0,4.32,"Medical","Medium","Complaint Exists","Incident Exists"
"DL00889","Failed",0,1,4.37,"Medical","Medium","Complaint Exists","No Incident Logged"
"DL00658","Failed",1,0,4.41,"Parcel","High","Complaint Exists","No Incident Logged"
"DL00074","Failed",1,0,4.42,"Retail","Medium","Complaint Exists","No Incident Logged"
"DL00074","Failed",1,0,4.42,"Retail","Medium","Complaint Exists","No Incident Logged"
"DL00098","Failed",1,0,4.43,"Business","Low","Complaint Exists","No Incident Logged"
"DL00824","Failed",2,0,4.45,"Business","Medium","Complaint Exists","No Incident Logged"
"DL00781","Failed",0,0,4.6,"Parcel","High","No Complaint Logged","No Incident Logged"
"DL00486","Failed",0,1,4.61,"Passenger","Low","Complaint Exists","No Incident Logged"
"DL00574","Failed",1,0,4.63,"Retail","Medium","No Complaint Logged","Incident Exists"
"DL00312","Failed",0,0,4.79,"Passenger","High","No Complaint Logged","No Incident Logged"
"DL00576","Failed",1,0,5,"Business","Medium","Complaint Exists","Incident Exists"
"DL00576","Failed",1,0,5,"Business","Medium","Complaint Exists","Incident Exists"
"DL00701","Failed",0,0,5,"Passenger","High","Complaint Exists","No Incident Logged"
"DL00701","Failed",0,0,5,"Passenger","High","Complaint Exists","No Incident Logged"
