"event_type","device_type","zone_context","total_events","events_without_order","avg_api_latency_ms","max_api_latency_ms","failed_events","failure_rate_pct"
"chat_escalated","Android","South",1,0,699,699,0,0
"chat_escalated","Web","Airport",1,0,474,474,1,100
"chat_escalated","Web","North",1,0,235,235,1,100
"chat_escalated","Web","South",1,0,661,661,0,0
"chat_escalated","Web","West",1,0,399,399,1,100
"chat_escalated","iOS","Airport",1,0,426,426,1,100
"chat_escalated","iOS","North",1,0,534,534,0,0
"chat_opened","Web","East",1,0,415,415,0,0
"chat_opened","Web","North",1,0,692,692,0,0
"delivery_instruction_update","Web","Central",1,0,209,209,0,0
"delivery_instruction_update","Web","East",1,0,445,445,0,0
"delivery_instruction_update","Web","North",1,0,242,242,0,0
"eta_refresh","Web","Airport",1,0,749,749,0,0
"eta_refresh","Web","East",1,0,310,310,0,0
"payment_retry","iOS","North",1,0,504,504,1,100
"search_route","Web","East",1,0,392,392,0,0
"search_route","Web","Riverside",1,0,407,407,0,0
"search_route","Web","West",1,0,326,326,0,0
"track_order","Web","Central",1,1,313,313,0,0
